graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,feat_feature_04,X,Y,Z
0,99,0,True,False,False,0.0,0.0,0.0,1.0,0.0,16.844444,8.6,-25.600001
0,100,0,True,False,False,0.0,0.0,0.0,1.0,0.0,1.068182,8.6,-24.675
0,101,0,True,False,False,0.0,0.0,0.0,1.0,0.0,4.327273,5.4,-27.63
0,102,0,True,False,False,0.0,0.0,0.0,1.0,0.0,5.6,5.4,-6.0
0,103,0,True,False,False,0.0,1.0,0.0,0.0,0.0,0.25,2.05,-6.0
0,104,0,True,False,False,0.0,0.0,0.0,1.0,0.0,20.945455,5.4,-9.4
0,105,0,True,False,False,0.0,0.0,0.0,1.0,0.0,1.068182,5.4,-1.675
0,106,0,True,False,False,0.0,0.0,0.0,1.0,0.0,6.377777,5.4,-10.464286
0,107,0,True,False,False,0.0,0.0,0.0,1.0,0.0,8.145454,8.6,-25.600001
0,108,0,True,False,False,0.0,0.0,0.0,1.0,0.0,4.327273,5.4,-7.37
0,109,0,True,False,False,0.0,0.0,0.0,1.0,0.0,2.022222,5.4,-32.399999
0,110,0,True,False,False,0.0,0.0,0.0,1.0,0.0,22.677272,8.6,-24.675
0,111,0,True,False,False,0.0,0.0,0.0,1.0,0.0,22.677272,5.4,-26.119999
0,112,0,True,False,False,0.0,0.0,0.0,1.0,0.0,20.945455,8.6,-32.399999
0,113,0,True,False,False,0.0,1.0,0.0,0.0,0.0,23.75,2.05,-29.0
0,114,0,True,False,False,0.0,0.0,0.0,1.0,0.0,4.327273,8.6,-24.675001
0,115,0,True,False,False,0.0,0.0,0.0,1.0,0.0,13.577777,5.4,-4.035715
0,116,0,True,False,False,0.0,0.0,0.0,1.0,0.0,2.545455,8.6,-9.4
0,117,0,True,False,False,0.0,0.0,0.0,1.0,0.0,19.418181,8.6,-7.825
0,118,0,True,False,False,0.0,0.0,0.0,1.0,0.0,2.545454,8.6,-32.399999
0,119,0,True,False,False,0.0,0.0,0.0,1.0,0.0,19.177778,8.6,-4.035715
0,120,0,True,False,False,0.0,1.0,0.0,0.0,0.0,23.75,2.05,-23.25
0,121,0,True,False,False,0.0,0.0,0.0,1.0,0.0,8.145454,8.6,-2.6
0,122,0,True,False,False,0.0,0.0,0.0,1.0,0.0,7.622222,5.4,-25.6
0,123,0,True,False,False,0.0,0.0,0.0,1.0,0.0,1.068182,5.4,-7.825
0,124,0,True,False,False,0.0,0.0,0.0,1.0,0.0,12.0,8.6,-29.0
0,125,0,True,False,False,0.0,1.0,0.0,0.0,0.0,8.083333,2.05,-6.0
0,126,0,True,False,False,0.0,0.0,0.0,1.0,0.0,19.418181,5.4,-24.675
0,127,0,True,False,False,0.0,0.0,0.0,1.0,0.0,19.418182,8.6,-30.825
0,128,0,True,False,False,0.0,0.0,0.0,1.0,0.0,13.818182,5.4,-24.675001
0,129,0,True,False,False,0.0,0.0,0.0,1.0,0.0,13.577777,5.4,-1.535714
0,130,0,True,False,False,0.0,0.0,0.0,1.0,0.0,9.927272,8.6,-26.119999
0,131,0,True,False,False,0.0,0.0,0.0,1.0,0.0,15.345454,8.6,-32.4
0,132,0,True,False,False,0.0,0.0,0.0,1.0,0.0,15.345454,8.6,-2.6
0,133,0,True,False,False,0.0,0.0,0.0,1.0,0.0,13.818182,5.4,-27.175
0,134,0,True,False,False,0.0,1.0,0.0,0.0,0.0,23.75,2.05,-6.0
