layout_id,node_id,node_role,space_type,floor_id,physical_floor,component_id,community_id,degree,degree_cent,betweenness,closeness,clustering
BB_01,87,room,Kitchen,3,1,1,3,4,0.022989,0.008877,0.113349,0.5
BB_01,88,room,Bedroom2,1,0,0,6,5,0.028736,0.000891,0.09375,0.5
BB_01,89,room,Living,3,1,1,3,3,0.017241,0.000775,0.094039,0.333333
BB_01,90,room,Living,1,0,0,6,3,0.017241,0.000334,0.093348,0.666667
BB_01,91,room,Bath,1,0,0,6,3,0.017241,0.011049,0.111253,0.666667
BB_01,92,room,Bath,3,1,1,3,3,0.017241,0.010876,0.113047,0.666667
BB_01,93,room,Hall,1,0,0,6,4,0.022989,0.011873,0.111825,0.5
BB_01,94,room,Bedroom1,3,1,1,3,2,0.011494,0.0,0.093214,1.0
BB_01,95,room,Hall,3,1,1,3,6,0.034483,0.041345,0.114263,0.333333
BB_01,96,room,Kitchen,1,0,0,6,2,0.011494,0.0,0.091772,1.0
BB_01,97,room,Living,1,0,0,6,4,0.022989,0.006116,0.111825,0.5
BB_01,98,room,Kitchen,3,1,1,3,4,0.022989,0.007237,0.113652,0.666667
BB_01,99,room,Bedroom2,3,1,1,3,5,0.028736,0.000912,0.094457,0.5
BB_01,100,room,Living,3,1,1,3,3,0.017241,0.000342,0.094039,0.666667
BB_01,101,room,Bath,1,0,0,6,5,0.028736,0.011167,0.112403,0.5
BB_01,102,room,Bedroom1,3,1,1,3,3,0.017241,0.005001,0.104437,0.333333
BB_01,103,room,Bath,3,1,1,3,4,0.022989,0.003157,0.113652,0.5
BB_01,104,room,Kitchen,1,0,0,6,4,0.022989,0.006347,0.103819,0.5
BB_01,105,room,Hall,1,0,0,6,4,0.022989,0.029677,0.127566,0.5
BB_01,106,room,Hall,3,1,1,3,6,0.034483,0.03355,0.129591,0.333333
BB_01,107,room,Living,1,0,0,0,4,0.022989,0.122917,0.157609,0.5
BB_01,108,room,Living,3,1,1,3,4,0.022989,0.042673,0.151266,0.5
BB_01,109,room,Kitchen,3,1,1,3,4,0.022989,0.003749,0.136674,0.666667
BB_01,110,room,Bedroom2,3,1,1,3,4,0.022989,0.002622,0.131191,0.666667
BB_01,111,room,Bath,1,0,0,6,4,0.022989,0.005435,0.111825,0.666667
BB_01,112,room,Hall,3,1,1,3,4,0.022989,0.014269,0.113349,0.5
BB_01,113,room,Bath,3,1,1,3,5,0.028736,0.015133,0.113652,0.5
BB_01,114,room,Hall,1,0,0,6,5,0.028736,0.012953,0.112113,0.4
BB_01,115,room,Living,3,1,1,3,3,0.017241,0.015073,0.136236,0.666667
BB_01,116,room,Bedroom,1,0,0,6,3,0.017241,0.000143,0.092751,0.666667
BB_01,117,room,Kitchen,1,0,0,6,4,0.022989,0.008941,0.135093,0.666667
BB_01,118,room,Kitchen,3,1,1,3,4,0.022989,0.000739,0.094039,0.5
BB_01,119,room,Living,1,0,0,6,3,0.017241,0.007765,0.129464,0.666667
BB_01,120,room,Bath,1,0,0,0,4,0.022989,0.003023,0.135514,0.666667
BB_01,121,room,Hall,3,1,1,1,5,0.028736,0.109222,0.147079,0.4
BB_01,122,room,Bath,3,1,1,1,4,0.022989,0.002573,0.135801,0.666667
BB_01,123,room,Hall,1,0,0,0,6,0.034483,0.128149,0.148973,0.333333
BB_01,124,room,Bedroom,1,0,0,0,4,0.022989,0.005895,0.15,0.666667
BB_01,125,room,Kitchen,3,1,1,1,4,0.022989,0.0053,0.149668,0.666667
BB_01,126,room,Living,3,1,1,1,4,0.022989,0.019838,0.126883,0.5
BB_01,127,room,Living,1,0,0,0,3,0.017241,0.012967,0.117251,0.333333
BB_01,128,room,Kitchen,1,0,0,0,4,0.022989,0.006679,0.127566,0.5
BB_01,129,room,Bath,1,0,0,0,4,0.022989,0.013563,0.135937,0.666667
BB_01,130,room,Bath,3,1,1,1,4,0.022989,0.009779,0.136236,0.666667
BB_01,131,room,Bedroom1,1,0,0,0,3,0.017241,0.012514,0.130631,0.666667
BB_01,132,room,Bedroom,3,1,1,1,3,0.017241,0.008662,0.130787,0.666667
BB_01,133,room,Hall,1,0,0,0,6,0.034483,0.034681,0.113577,0.333333
BB_01,134,room,Hall,3,1,1,1,5,0.028736,0.016564,0.113047,0.4
BB_01,135,room,Kitchen,1,0,0,0,4,0.022989,0.005379,0.112987,0.666667
BB_01,136,room,Kitchen,3,1,1,1,4,0.022989,0.007262,0.112747,0.5
BB_01,137,room,Bedroom2,1,0,0,0,5,0.028736,0.000878,0.094156,0.5
BB_01,138,room,Living,3,1,1,1,3,0.017241,0.000775,0.093625,0.333333
BB_01,139,room,Living,1,0,0,0,3,0.017241,0.000334,0.09375,0.666667
BB_01,140,room,Bath,1,0,0,0,4,0.022989,0.004766,0.112987,0.5
